Age	KobyB	ShaqO	DavidR	ScottieP	KarlM	JasonK
18	1015000	0	0	0	0	0
19	1167240	0	0	0	0	0
20	1319000	3000000	0	0	0	0
21	9000000	3900000	0	0	0	2770800
22	10130000	4800000	1046000	725000	225000	3588000
23	11250000	5700000	1006000	575000		4408000
24	12375000	10714000	2500000	765000	835000	5223333
25	13500000	12857143	2265000	765000	1350000	6041000
26	14175000	15000000	2240000	2770000	1800000	6858335
27	15946875	17142858	5720000	3425000	2260000	7680000
28	17718750	19285715	5740000	3075000	2556000	8447500
29	19490625	21428572	7300000	2225000	2854000	9265000
30	21262500	23571429	7700000	2925000	3081000	13152000
31	23034375	24749999	9952000	2250000	3378800	14796000
32	24806250	27696430	12397440	2775000	3676000	16440000
33	25244493	20000000	14841000	11000000	4657000	18084000
34	27849149	20000000	11592683	14795642	5118578	19728000
35	30453805	20000000	14700000	13750000	6142000	21372000
36	23500000	21000000	9500000	18083564	14000000	8000000
37	25000000	20000000	10500000	19727524	15750000	8610500
38	0	1352181	0	4917000	17500000	10121000
39	0	0	0	5408700	19250000	3090000
40	0	0	0	0	1500000	0
